,Start_date_of_CEWS_period,RegionCode,RegionName,RuralUrbanFlag,CMACAFlag,Number_business_locations,Subsidy_amount,Supported_employees,CEWS_rehire_count,province_regionCode,province_regionName
46,2020-03-15,1001469,Harbour Main-Chapel's Cove-Lakeview,RURAL,Not applicable,5,,44,0,10,Newfoundland and Labrador
47,2020-03-15,1001472,Holyrood,RURAL,Not applicable,30,"231,000",147,5,10,Newfoundland and Labrador
48,2020-03-15,1001485,Conception Bay South,URBAN,Not applicable,110,"1,154,000",728,10,10,Newfoundland and Labrador
49,2020-03-15,1001490,"Division No.  1, Subd. R",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
50,2020-03-15,1001494,Wabana,RURAL,Not applicable,5,"29,000",26,0,10,Newfoundland and Labrador
52,2020-03-15,1001504,Portugal Cove-St. Philip's,URBAN,Not applicable,50,"463,000",232,5,10,Newfoundland and Labrador
53,2020-03-15,1001505,Pouch Cove,URBAN,Not applicable,5,,,0,10,Newfoundland and Labrador
54,2020-03-15,1001507,Flatrock,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
55,2020-03-15,1001509,Torbay,URBAN,Not applicable,30,"536,000",230,0,10,Newfoundland and Labrador
56,2020-03-15,1001511,Logy Bay-Middle Cove-Outer Cove,URBAN,Not applicable,10,"64,000",26,0,10,Newfoundland and Labrador
57,2020-03-15,1001512,Bauline,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
58,2020-03-15,1001517,Paradise,URBAN,Not applicable,140,"2,469,000","1,109",10,10,Newfoundland and Labrador
59,2020-03-15,1001519,St. John's,URBAN,Not applicable,"1,330","30,388,000","16,273",130,10,Newfoundland and Labrador
60,2020-03-15,1001542,Mount Pearl,URBAN,Not applicable,320,"7,595,000","3,491",25,10,Newfoundland and Labrador
61,2020-03-15,1001551,Petty Harbour-Maddox Cove,URBAN,Not applicable,5,"73,000",38,0,10,Newfoundland and Labrador
62,2020-03-15,1001557,Bay Bulls,URBAN,Not applicable,10,"104,000",48,0,10,Newfoundland and Labrador
63,2020-03-15,1001559,Witless Bay,URBAN,Not applicable,10,"52,000",21,0,10,Newfoundland and Labrador
64,2020-03-15,1002005,Burin,RURAL,Not applicable,15,"157,000",79,5,10,Newfoundland and Labrador
65,2020-03-15,1002008,St. Lawrence,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
66,2020-03-15,1002018,Fortune,RURAL,Not applicable,5,"17,000",28,0,10,Newfoundland and Labrador
67,2020-03-15,1002019,Grand Bank,RURAL,Not applicable,10,"188,000",80,0,10,Newfoundland and Labrador
68,2020-03-15,1002024,Marystown,RURAL,Not applicable,55,"345,000",215,10,10,Newfoundland and Labrador
69,2020-03-15,1002031,"Division No.  2, Subd. C",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
70,2020-03-15,1002034,Parkers Cove,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
71,2020-03-15,1002041,St. Bernard's-Jacques Fontaine,RURAL,Not applicable,0,0,0,0,10,Newfoundland and Labrador
72,2020-03-15,1002048,"Division No.  2, Subd. K",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
73,2020-03-15,1003008,Harbour Breton,RURAL,Not applicable,15,"157,000",71,10,10,Newfoundland and Labrador
74,2020-03-15,1003011,Hermitage-Sandyville,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
75,2020-03-15,1003019,St. Alban's,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
76,2020-03-15,1003028,Burgeo,RURAL,Not applicable,5,,16,0,10,Newfoundland and Labrador
77,2020-03-15,1003034,Channel-Port aux Basques,RURAL,Not applicable,25,"263,000",167,5,10,Newfoundland and Labrador
78,2020-03-15,1003801,Samiajij Miawpukek,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
79,2020-03-15,1004001,"Division No.  4, Subd. A",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
80,2020-03-15,1004006,"Division No.  4, Subd. B",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
81,2020-03-15,1004013,St. George's,RURAL,Not applicable,5,,,5,10,Newfoundland and Labrador
82,2020-03-15,1004016,"Division No.  4, Subd. D",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
83,2020-03-15,1004018,Stephenville Crossing,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
84,2020-03-15,1004019,Stephenville,RURAL,Not applicable,60,"672,000",429,10,10,Newfoundland and Labrador
85,2020-03-15,1004020,Kippens,RURAL,Not applicable,5,"33,000",15,0,10,Newfoundland and Labrador
86,2020-03-15,1004037,Lourdes,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
87,2020-03-15,1005004,Deer Lake,RURAL,Not applicable,55,"1,084,000",500,5,10,Newfoundland and Labrador
88,2020-03-15,1005009,Reidville,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
89,2020-03-15,1005010,"Division No.  5, Subd. F",URBAN,Not applicable,5,,12,0,10,Newfoundland and Labrador
90,2020-03-15,1005011,Steady Brook,URBAN,Not applicable,5,,,0,10,Newfoundland and Labrador
91,2020-03-15,1005012,Pasadena,URBAN,Not applicable,20,"315,000",116,0,10,Newfoundland and Labrador
92,2020-03-15,1005014,Cormack,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
93,2020-03-15,1005015,Gillams,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
94,2020-03-15,1005017,Massey Drive,URBAN,Not applicable,5,,10,0,10,Newfoundland and Labrador
95,2020-03-15,1005018,Corner Brook,URBAN,Not applicable,265,"3,755,000","2,026",20,10,Newfoundland and Labrador
96,2020-03-15,1005020,Humber Arm South,URBAN,Not applicable,5,,,0,10,Newfoundland and Labrador
97,2020-03-15,1005022,McIvers,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
98,2020-03-15,1005023,Cox's Cove,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
99,2020-03-15,1005025,Meadows,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
100,2020-03-15,1005028,Hughes Brook,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
101,2020-03-15,1005030,Irishtown-Summerside,URBAN,Not applicable,5,,,0,10,Newfoundland and Labrador
102,2020-03-15,1005033,Mount Moriah,URBAN,Not applicable,5,"46,000",17,0,10,Newfoundland and Labrador
103,2020-03-15,1006003,Norris Arm,RURAL,Not applicable,5,"33,000",14,0,10,Newfoundland and Labrador
104,2020-03-15,1006009,Gander,URBAN,Not applicable,155,,,25,10,Newfoundland and Labrador
105,2020-03-15,1006012,Glenwood,URBAN,Not applicable,0,,,0,10,Newfoundland and Labrador
106,2020-03-15,1006017,Grand Falls-Windsor,URBAN,Not applicable,125,"1,677,000","1,088",20,10,Newfoundland and Labrador
107,2020-03-15,1006019,Bishop's Falls,RURAL,Not applicable,20,"154,000",92,5,10,Newfoundland and Labrador
108,2020-03-15,1006022,Botwood,RURAL,Not applicable,5,"43,000",24,0,10,Newfoundland and Labrador
109,2020-03-15,1006026,Badger,RURAL,Not applicable,5,"49,000",38,0,10,Newfoundland and Labrador
110,2020-03-15,1006028,Millertown,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
111,2020-03-15,1007001,"Division No.  7, Subd. M",RURAL,Not applicable,5,,6,0,10,Newfoundland and Labrador
112,2020-03-15,1007006,"Division No.  7, Subd. L",RURAL,Not applicable,5,"55,000",30,0,10,Newfoundland and Labrador
113,2020-03-15,1007013,Clarenville,RURAL,Not applicable,100,"1,313,000",726,10,10,Newfoundland and Labrador
114,2020-03-15,1007015,Trinity (Trinity Bay),RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
115,2020-03-15,1007016,Port Rexton,RURAL,Not applicable,5,"5,000",3,0,10,Newfoundland and Labrador
116,2020-03-15,1007020,Elliston,RURAL,Not applicable,5,"7,000",6,0,10,Newfoundland and Labrador
117,2020-03-15,1007022,Trinity Bay North,RURAL,Not applicable,5,"12,000",6,0,10,Newfoundland and Labrador
118,2020-03-15,1007023,Bonavista,RURAL,Not applicable,20,"133,000",79,0,10,Newfoundland and Labrador
119,2020-03-15,1007028,"Division No.  7, Subd. F",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
120,2020-03-15,1007031,"Division No.  7, Subd. E",RURAL,Not applicable,10,"63,000",40,0,10,Newfoundland and Labrador
121,2020-03-15,1007032,Musgravetown,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
122,2020-03-15,1007036,Port Blandford,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
123,2020-03-15,1007037,Traytown,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
124,2020-03-15,1007042,Eastport,RURAL,Not applicable,5,,,5,10,Newfoundland and Labrador
125,2020-03-15,1007043,Sandringham,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
126,2020-03-15,1007044,Glovertown,RURAL,Not applicable,10,"98,000",67,0,10,Newfoundland and Labrador
127,2020-03-15,1007047,Gambo,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
128,2020-03-15,1007050,Centreville-Wareham-Trinity,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
129,2020-03-15,1007057,Dover,RURAL,Not applicable,5,,48,0,10,Newfoundland and Labrador
130,2020-03-15,1007060,New-Wes-Valley,RURAL,Not applicable,10,"161,000",67,5,10,Newfoundland and Labrador
131,2020-03-15,1008004,Lumsden,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
132,2020-03-15,1008006,Musgrave Harbour,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
133,2020-03-15,1008008,"Division No.  8, Subd. L",RURAL,Not applicable,5,"13,000",10,5,10,Newfoundland and Labrador
134,2020-03-15,1008011,Carmanville,RURAL,Not applicable,5,,12,0,10,Newfoundland and Labrador
135,2020-03-15,1008031,"Division No.  8, Subd. H",RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
136,2020-03-15,1008033,Summerford,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
137,2020-03-15,1008035,Twillingate,RURAL,Not applicable,20,"79,000",63,0,10,Newfoundland and Labrador
138,2020-03-15,1008036,"Division No.  8, Subd. G",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
139,2020-03-15,1008037,Campbellton,RURAL,Not applicable,5,,,5,10,Newfoundland and Labrador
140,2020-03-15,1008039,Comfort Cove-Newstead,RURAL,Not applicable,5,"63,000",49,0,10,Newfoundland and Labrador
141,2020-03-15,1008040,Baytona,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
142,2020-03-15,1008042,"Division No.  8, Subd. F",RURAL,Not applicable,25,"196,000",129,5,10,Newfoundland and Labrador
143,2020-03-15,1008043,Embree,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
144,2020-03-15,1008044,Lewisporte,RURAL,Not applicable,10,"129,000",72,0,10,Newfoundland and Labrador
145,2020-03-15,1008047,Point of Bay,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
146,2020-03-15,1008048,Leading Tickles,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
147,2020-03-15,1008053,Pilley's Island,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
148,2020-03-15,1008054,Triton,RURAL,Not applicable,10,"128,000",67,0,10,Newfoundland and Labrador
149,2020-03-15,1008058,"Division No.  8, Subd. C",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
150,2020-03-15,1008059,South Brook,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
151,2020-03-15,1008060,Robert's Arm,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
152,2020-03-15,1008061,Springdale,RURAL,Not applicable,30,"428,000",270,0,10,Newfoundland and Labrador
153,2020-03-15,1008069,King's Point,RURAL,Not applicable,0,0,0,0,10,Newfoundland and Labrador
154,2020-03-15,1008075,Fleur de Lys,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
155,2020-03-15,1008076,LaScie,RURAL,Not applicable,5,"18,000",9,0,10,Newfoundland and Labrador
156,2020-03-15,1008079,Baie Verte,RURAL,Not applicable,15,"74,000",77,0,10,Newfoundland and Labrador
157,2020-03-15,1008093,Westport,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
158,2020-03-15,1008098,Miles Cove,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
159,2020-03-15,1008099,Fogo Island,RURAL,Not applicable,20,"166,000",71,0,10,Newfoundland and Labrador
160,2020-03-15,1009004,Englee,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
161,2020-03-15,1009007,Roddickton-Bide Arm,RURAL,Not applicable,5,"20,000",12,0,10,Newfoundland and Labrador
162,2020-03-15,1009008,Conche,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
163,2020-03-15,1009009,"Division No.  9, Subd. A",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
164,2020-03-15,1009011,"Woody Point, Bonne Bay",RURAL,Not applicable,5,"77,000",31,0,10,Newfoundland and Labrador
165,2020-03-15,1009012,Norris Point,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
166,2020-03-15,1009013,Rocky Harbour,RURAL,Not applicable,10,"94,000",60,0,10,Newfoundland and Labrador
167,2020-03-15,1009015,Daniel's Harbour,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
168,2020-03-15,1009016,Cow Head,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
169,2020-03-15,1009018,Hawke's Bay,RURAL,Not applicable,5,"10,000",10,0,10,Newfoundland and Labrador
170,2020-03-15,1009019,Port Saunders,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
171,2020-03-15,1009020,St. Pauls,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
172,2020-03-15,1009021,"Division No.  9, Subd. C",RURAL,Not applicable,10,"18,000",18,0,10,Newfoundland and Labrador
173,2020-03-15,1009022,Port au Choix,RURAL,Not applicable,5,"5,000",2,0,10,Newfoundland and Labrador
174,2020-03-15,1009023,Anchor Point,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
175,2020-03-15,1009024,Flower's Cove,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
176,2020-03-15,1009026,Bird Cove,RURAL,Not applicable,5,"13,000",11,0,10,Newfoundland and Labrador
177,2020-03-15,1009028,Main Brook,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
178,2020-03-15,1009029,St. Anthony,RURAL,Not applicable,30,"225,000",147,5,10,Newfoundland and Labrador
179,2020-03-15,1009030,Glenburnie-Birchy Head-Shoal Brook,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
180,2020-03-15,1009032,St. Lunaire-Griquet,RURAL,Not applicable,5,"8,000",5,0,10,Newfoundland and Labrador
181,2020-03-15,1009035,Raleigh,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
182,2020-03-15,1009041,"Division No.  9, Subd. H",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
183,2020-03-15,1010002,L'Anse au Loup,RURAL,Not applicable,10,"150,000",51,0,10,Newfoundland and Labrador
184,2020-03-15,1010003,Red Bay,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
185,2020-03-15,1010004,L'Anse-au-Clair,RURAL,Not applicable,5,"55,000",38,0,10,Newfoundland and Labrador
186,2020-03-15,1010005,Forteau,RURAL,Not applicable,5,"95,000",38,0,10,Newfoundland and Labrador
187,2020-03-15,1010009,Port Hope Simpson,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
188,2020-03-15,1010010,St. Lewis,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
189,2020-03-15,1010011,Mary's Harbour,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
190,2020-03-15,1010012,"Cartwright, Labrador",RURAL,Not applicable,5,,12,0,10,Newfoundland and Labrador
191,2020-03-15,1010013,Charlottetown (Labrador),RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
192,2020-03-15,1010022,North West River,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
193,2020-03-15,1010025,Happy Valley-Goose Bay,RURAL,Not applicable,80,"1,163,000",556,5,10,Newfoundland and Labrador
194,2020-03-15,1010029,"Division No. 10, Subd. D",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
195,2020-03-15,1010032,Labrador City,RURAL,Not applicable,45,"870,000",388,5,10,Newfoundland and Labrador
196,2020-03-15,1010034,Wabush,RURAL,Not applicable,25,"440,000",194,5,10,Newfoundland and Labrador
197,2020-03-15,1011015,Postville,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
198,2020-03-15,1011020,Makkovik,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
199,2020-03-15,1011030,Hopedale,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
200,2020-03-15,1011035,Nain,RURAL,Not applicable,5,"39,000",17,0,10,Newfoundland and Labrador
204,2020-03-15,1100000,Prince Edward Island  - rural part undetermined CSD,RURAL,Not applicable,0,,,0,11,Prince Edward Island
205,2020-03-15,1101001,Lot 64,RURAL,Not applicable,10,"66,000",36,5,11,Prince Edward Island
206,2020-03-15,1101002,Murray Harbour,RURAL,Not applicable,5,"9,000",3,0,11,Prince Edward Island
207,2020-03-15,1101006,Lot 63,RURAL,Not applicable,30,"254,000",184,5,11,Prince Edward Island
208,2020-03-15,1101008,Lot 61,RURAL,Not applicable,0,,,0,11,Prince Edward Island
209,2020-03-15,1101009,Lot 59,RURAL,Not applicable,5,"45,000",25,0,11,Prince Edward Island
210,2020-03-15,1101014,Lot 51,RURAL,Not applicable,0,,,0,11,Prince Edward Island
211,2020-03-15,1101016,Lot 52,RURAL,Not applicable,15,"410,000",156,0,11,Prince Edward Island
212,2020-03-15,1101018,Montague,RURAL,Not applicable,20,"315,000",183,0,11,Prince Edward Island
213,2020-03-15,1101019,Lot 53,RURAL,Not applicable,0,,,0,11,Prince Edward Island
214,2020-03-15,1101022,"Kings, Royalty",RURAL,Not applicable,0,,,0,11,Prince Edward Island
215,2020-03-15,1101024,Georgetown,RURAL,Not applicable,0,"12,000",9,0,11,Prince Edward Island
216,2020-03-15,1101028,Lot 55,RURAL,Not applicable,10,"102,000",51,0,11,Prince Edward Island
217,2020-03-15,1101031,Lot 43,RURAL,Not applicable,5,"46,000",18,0,11,Prince Edward Island
218,2020-03-15,1101032,Lot 44,RURAL,Not applicable,5,"16,000",12,0,11,Prince Edward Island
219,2020-03-15,1101034,Lot 45,RURAL,Not applicable,5,"37,000",14,0,11,Prince Edward Island
220,2020-03-15,1101036,Souris,RURAL,Not applicable,5,"87,000",60,0,11,Prince Edward Island
221,2020-03-15,1101038,Lot 46,RURAL,Not applicable,5,,,0,11,Prince Edward Island
222,2020-03-15,1101039,Lot 47,RURAL,Not applicable,0,,,0,11,Prince Edward Island
223,2020-03-15,1101042,Lot 41,RURAL,Not applicable,0,,,0,11,Prince Edward Island
224,2020-03-15,1101046,Lot 40,RURAL,Not applicable,10,"122,000",55,0,11,Prince Edward Island
225,2020-03-15,1101048,Morell,RURAL,Not applicable,5,"53,000",30,0,11,Prince Edward Island
226,2020-03-15,1101049,Lot 39,RURAL,Not applicable,0,,,0,11,Prince Edward Island
227,2020-03-15,1101051,Lot 38,RURAL,Not applicable,5,"22,000",,0,11,Prince Edward Island
228,2020-03-15,1102004,Lot 60,RURAL,Not applicable,0,,,0,11,Prince Edward Island
229,2020-03-15,1102006,Lot 58,RURAL,Not applicable,5,"33,000",13,0,11,Prince Edward Island
230,2020-03-15,1102008,Lot 57,RURAL,Not applicable,5,"34,000",13,0,11,Prince Edward Island
231,2020-03-15,1102009,Lot 50,RURAL,Not applicable,5,"84,000",,0,11,Prince Edward Island
232,2020-03-15,1102012,Lot 49,URBAN,Not applicable,5,"55,000",29,5,11,Prince Edward Island
233,2020-03-15,1102014,Lot 48,URBAN,Not applicable,10,"97,000",50,0,11,Prince Edward Island
234,2020-03-15,1102026,Lot 31,URBAN,Not applicable,15,"117,000",59,0,11,Prince Edward Island
235,2020-03-15,1102028,Lot 65,URBAN,Not applicable,15,"91,000",67,0,11,Prince Edward Island
236,2020-03-15,1102029,Lot 30,RURAL,Not applicable,0,,,0,11,Prince Edward Island
237,2020-03-15,1102031,Lot 29,RURAL,Not applicable,5,"56,000",26,0,11,Prince Edward Island
238,2020-03-15,1102032,Victoria,RURAL,Not applicable,0,,,0,11,Prince Edward Island
239,2020-03-15,1102036,Lot 67,RURAL,Not applicable,0,,,0,11,Prince Edward Island
240,2020-03-15,1102037,Clyde River,URBAN,Not applicable,5,"17,000",,0,11,Prince Edward Island
241,2020-03-15,1102040,Miltonvale Park,URBAN,Not applicable,5,"381,000",138,0,11,Prince Edward Island
242,2020-03-15,1102041,Lot 22,RURAL,Not applicable,0,,,0,11,Prince Edward Island
243,2020-03-15,1102042,Lot 23,RURAL,Not applicable,5,"62,000",35,0,11,Prince Edward Island
244,2020-03-15,1102043,Hunter River,RURAL,Not applicable,5,,,0,11,Prince Edward Island
245,2020-03-15,1102044,Lot 24,RURAL,Not applicable,10,"71,000",38,5,11,Prince Edward Island
246,2020-03-15,1102045,Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.,RURAL,Not applicable,15,"95,000",44,0,11,Prince Edward Island
247,2020-03-15,1102046,North Rustico,RURAL,Not applicable,5,"102,000",51,0,11,Prince Edward Island
248,2020-03-15,1102048,Brackley,URBAN,Not applicable,5,"328,000",117,0,11,Prince Edward Island
249,2020-03-15,1102049,Lot 33,URBAN,Not applicable,5,"35,000",16,0,11,Prince Edward Island
250,2020-03-15,1102051,Breadalbane,RURAL,Not applicable,0,,,0,11,Prince Edward Island
251,2020-03-15,1102052,Lot 34,URBAN,Not applicable,20,"210,000",105,0,11,Prince Edward Island
252,2020-03-15,1102054,Lot 35,URBAN,Not applicable,10,"66,000",29,0,11,Prince Edward Island
253,2020-03-15,1102056,Lot 36,URBAN,Not applicable,5,"53,000",28,5,11,Prince Edward Island
254,2020-03-15,1102057,Scotchfort 4,URBAN,Not applicable,0,,,0,11,Prince Edward Island
255,2020-03-15,1102058,Lot 37,URBAN,Not applicable,5,"26,000",11,0,11,Prince Edward Island
256,2020-03-15,1102059,Mount Stewart,URBAN,Not applicable,5,,7,0,11,Prince Edward Island
257,2020-03-15,1102065,Winsloe South,URBAN,Not applicable,5,"24,000",13,0,11,Prince Edward Island
258,2020-03-15,1102070,Warren Grove,URBAN,Not applicable,0,,,0,11,Prince Edward Island
259,2020-03-15,1102075,Charlottetown,URBAN,Not applicable,595,"10,408,000","6,049",50,11,Prince Edward Island
260,2020-03-15,1102080,Stratford,URBAN,Not applicable,65,"750,000",377,0,11,Prince Edward Island
261,2020-03-15,1102085,Cornwall,URBAN,Not applicable,45,"822,000",518,10,11,Prince Edward Island
262,2020-03-15,1103001,Lot 28,RURAL,Not applicable,5,"16,000",10,0,11,Prince Edward Island
263,2020-03-15,1103005,Borden-Carleton,RURAL,Not applicable,15,"519,000",267,0,11,Prince Edward Island
264,2020-03-15,1103006,Lot 27,RURAL,Not applicable,0,,,0,11,Prince Edward Island
